Method	Workers	Time (сек)
Single-threaded	1	1.758341
Thread	1	1.811908
Process	1	1.846637
Thread	2	1.723398
Process	2	0.999402
Thread	3	1.741276
Process	3	0.771144
Thread	4	1.729320
Process	4	0.656705
Thread	5	1.747840
Process	5	0.741815
Thread	6	1.736719
Process	6	0.870657
Thread	7	1.791235
Process	7	0.911163
Thread	8	1.732574
Process	8	0.951601
Thread	9	1.765199
Process	9	1.028556
Thread	10	1.759455
Process	10	1.072389
Thread	11	1.759506
Process	11	1.166149
Thread	12	1.732386
Process	12	1.123574
Thread	13	1.748213
Process	13	1.300575
Thread	14	1.751810
Process	14	1.346099
Thread	15	1.770446
Process	15	1.671680
Thread	16	2.037807
Process	16	1.581980
